client_num,customer_age,gender,dependent_count,education_level,marital_status,state_cd,zipcode,car_owner,house_owner,personal_loan,contact,customer_job,income,cust_satisfaction_score,card_category,annual_fees,activation_30_days,customer_acq_cost,week_start_date,week_num,qtr,current_year,credit_limit,total_revolving_bal,total_trans_amt,total_trans_vol,avg_utilization_ratio,use_chip,exp_type,interest_earned,delinquent_acc
708082083,24,F,1,Uneducated,Single,FL,91750,no,yes,no,unknown,Businessman,202326.0,3,Blue,200.0,0,87.0,2023-01-01,Week-1,Q1,2023,3544.0,1661.0,15149.0,111.0,0.469,Chip ,Travel,4393.21,0
708083283,62,F,0,Unknown,Married,NJ,91750,no,no,no,cellular,Selfemployeed,5225.0,2,Blue,445.0,1,108.0,2023-01-01,Week-1,Q1,2023,3421.0,2517.0,992.0,21.0,0.736,Swipe ,Entertainment,69.44,0
708084558,32,F,1,Unknown,Married,NJ,91750,yes,no,no,unknown,Selfemployeed,14235.0,2,Blue,140.0,0,106.0,2023-01-01,Week-1,Q1,2023,8258.0,1771.0,1447.0,23.0,0.214,Chip ,Bills,202.58,0
708085458,38,M,2,Uneducated,Single,NY,91750,no,no,no,cellular,Blue-collar,45683.0,1,Blue,250.0,1,150.0,2023-01-01,Week-1,Q1,2023,1438.3,0.0,3940.0,82.0,0.0,Online ,Grocery,236.4,0
708086958,48,M,4,Graduate,Single,TX,91750,yes,yes,no,cellular,Businessman,59279.0,1,Blue,320.0,1,106.0,2023-01-01,Week-1,Q1,2023,3128.0,749.0,4369.0,59.0,0.239,Swipe ,Fuel,1004.87,1
708095133,33,F,1,High School,Single,NY,91750,no,yes,no,cellular,Selfemployeed,14254.0,3,Blue,100.0,0,94.0,2023-01-01,Week-1,Q1,2023,33304.0,1833.0,1448.0,29.0,0.055,Swipe ,Bills,275.12,0
708098133,34,F,3,Graduate,Single,CA,91750,yes,no,no,telephone,Selfemployeed,14975.0,2,Blue,225.0,1,75.0,2023-01-01,Week-1,Q1,2023,2834.0,1418.0,1598.0,39.0,0.5,Swipe ,Bills,159.8,1
708099183,34,F,2,Uneducated,Single,CA,91750,no,no,no,cellular,Retirees,31982.0,2,Blue,400.0,1,75.0,2023-01-01,Week-1,Q1,2023,5723.0,1873.0,2732.0,63.0,0.327,Swipe ,Grocery,409.8,0
708100533,48,M,2,High School,Married,NJ,91750,yes,no,no,telephone,Businessman,86668.0,2,Blue,200.0,1,64.0,2023-01-01,Week-1,Q1,2023,2679.0,2277.0,4943.0,85.0,0.85,Chip ,Food,988.6,0
708103608,53,F,1,Graduate,Married,NJ,91750,yes,yes,no,cellular,Businessman,223196.0,1,Platinum,95.0,1,80.0,2023-01-01,Week-1,Q1,2023,11898.0,2517.0,15798.0,128.0,0.212,Chip ,Grocery,3791.52,0
